"CCSBT Registration Number","Vessel Group","Vessel Name","Flag","Authorising Entity","Callsign","Vessel Registration Number","IMO","Tonnage","Vessel Type","Gear Type","Authorisation From","Authorisation To"
"FV04793","Fishing","JIN FONG SHUUN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3276","CT6-1276","8651128","497.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV04794","Fishing","JIN HWEI SHIANG","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3275","CT6-1275","8651130","497.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06255","Fishing","JIN JAAN SHYANG 3","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3439","CT6-1439","9765287","298.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05774","Fishing","JIN YI SHIANG","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BZFD","CT6-1011","8628561","363.7","Longliners","Longline","01/04/2015","30/09/2016"
"FV06324","Fishing","JIN YUAN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3454","CT6-1454","9767194","298.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06220","Fishing","JO WEN","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3428","CT6-1428","9751482","241.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV05768","Fishing","JOHO","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BG3698","CT5-1698","9643568","198.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV06325","Fishing","JUI DER 112","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3460","CT6-1460","9783021","270.0","Longliners","Longline","01/04/2016","30/09/2017"
"FV00062","Fishing","JUI DER 16","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3070","CT6-1070","8674730","406.9","Longliners","Longline","01/04/2016","30/09/2017"
"FV06205","Fishing","KAIGATA MARU 128","Japan","Japan","7JRE","T1026","9709831","479.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00300","Fishing","KAIGATA MARU 86","Japan","Japan","JPSZ","T1028","9033610","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00237","Fishing","KAIYO MARU 35","Japan","Japan","JMXY","1004","8809309","379.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV00656","Fishing","KAIYO MARU 58","Japan","Japan","JDIS","1009","9072783","409.0","Longliners","Longline","01/04/2016","31/03/2017"
"FV05771","Fishing","KAO FENG 101","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BI2403","CT7-0403","8749420","704.0","Longliners","Longline","01/04/2015","30/09/2016"
"FV00091","Fishing","KAO FONG 372","Taiwan, Fishing Entity of","Taiwan, Fishing Entity of","BH3343","CT6-1343","8749377","421.0","Longliners","Longline","01/04/2015","30/09/2016"
