Flag,Vessel_type,Vessel_name,Vessel_id,Callsign,Flag_registration_num,Weight_gross,Length,Start_date,End_date
Panama,Fish Carrier,ARCTIC,35880,3FXC8,39583PEXTF,3526,99.02,1-Jul-11,30-Jun-12
Panama,Fish Carrier,KRASKINO,35907,3EPS9,3381208,5286,106.38,1-Jul-11,30-Jun-12
Panama,Bunker,ANGEL NO.101,36059,3FUZ8,4187410,4974,110,6-Aug-11,5-Aug-12
Panama,Bunker,ANGEL NO.102,36068,HPQT,40676PEXT,4974,110,30-Aug-11,29-Aug-12
Panama,Bunker,ANGEL NO.5,36100,H3FU,27130-00-CH,28077,179.88,16-Nov-11,15-Nov-12
Panama,Bunker,SUN LAUREL,36108,3ETH2,3463309A,4067,105.6,30-Dec-11,29-Dec-12
Panama,Fish Carrier,GREEN GLACIER,36133,3FXJ9,41610PEXT,1991,115,16-Feb-11,15-Feb-12
Panama,Fish Carrier,KAI DE,36145,H3XA,41663PEXT,4202,107.96,5-Apr-11,4-Apr-12
Panama,Fish Carrier,SARONIC BAY,36171,H3PP,27839-01-CH,6791,134,18-May-11,17-May-12
Panama,Bunker,HAI GONG YOU 303,36206,3EVX5,41857,4989,111.56,4-Jul-11,3-Jul-12
Panama,Fish Carrier,HAI FENG 618,36231,3FHE6,4254911,7800,138,23-Sep-11,22-Sep-12
Panama,Fish Carrier,HAI FENG 628,36232,3FEO6,4253311,6268,143.52,9-Dec-11,8-Dec-12
Panama,Fish Carrier,HAI FENG 638,36233,3EVC7,4254811,4986,117.8,7-Sep-11,6-Sep-12
Papua New Guinea,Single Purse Seine,ALPINE ROSE,4473,P2V4189,937,989.4,66.52,23-Nov-11,22-Nov-12
Papua New Guinea,Single Purse Seine,RED ROBIN 888,11619,P2V5125,1003,897.26,55.51,23-Nov-11,22-Nov-12
Papua New Guinea,Single Purse Seine,NIUPELALIP NO.8,16469,P2V5491,1322,1034,61.75,24-Nov-11,23-Nov-12
Papua New Guinea,Single Purse Seine,WHITE PEARL,34215,P2V4160,824,204.05,39.56,2-Aug-11,1-Aug-12
Papua New Guinea,Single Purse Seine,CAMIA 888,34951,P2V5056,932,535.04,56.45,23-Nov-11,22-Nov-12
Papua New Guinea,Single Purse Seine,CHERRY BLOSSOMS 88,35041,P2V5068,948,349,61.51,23-Nov-11,22-Nov-12
Papua New Guinea,Single Purse Seine,RED TULIP 888,35724,P2V5278,1121,1145.1,53.03,23-Nov-11,22-Nov-12
Papua New Guinea,Single Purse Seine,PURPLE LILAC 888,36210,P2V5408,1210,1799.9,76.52,4-Aug-11,3-Aug-12
Papua New Guinea,Single Purse Seine,LAVENDER 888,36211,P2V5406,1227,1012.7,55.17,9-Aug-11,8-Aug-12
Philippines,Single Purse Seine,GOLDEN SAPPHIRE,7773,DUA6356,MNLD000258,787.41,57.4,17-Dec-11,16-Dec-12
Philippines,Single Purse Seine,JOHN REYNALD,7849,DUQA7,BAT5006800,782.93,60.75,9-Aug-11,8-Aug-12
Philippines,Single Purse Seine,HANNAH 88,7906,DUM-6144,12-0000169,1047.71,61.51,27-Jul-11,26-Jul-12
Philippines,Single Purse Seine,TOBIAS REYNALD,7930,DUA2635,MNLD007561,470.93,56,9-Aug-11,8-Aug-12
Philippines,Single Purse Seine,APPLE BLOSSOM 888,9316,DUAZ3,MNLD009297,1398.74,75.5,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,DOLORES 837,11437,DUL-6793,12-0000112,867.75,62.2,28-Oct-11,27-Oct-12
Philippines,Single Purse Seine,DOLORES 833,11627,DUL6792,12-10000188,874.46,60.98,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,ALPINE PINK,19281,a,MNLD002786,815.35,58.8,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,AMARYLLIS,19380,DVDZ,MNLD000851,936.69,68.01,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,SUNFLOWER 88,21436,DVPB,MNLD000036,995.1,75.41,22-Nov-11,21-Nov-12
Philippines,Fish Carrier,VANILLA,24109,DUUP,MNLD001020,1203.4,73.6,8-Dec-11,7-Dec-12
Philippines,Fish Carrier,IRIS 2,24745,DUA2353,373,468.64,50.9,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,SILVER QUEEN,25122,DUA6088,MNLD001461,960.86,58.2,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,SUNFLOWER 888,25353,DUA2440,MNLD001222,994.54,53,14-Oct-11,13-Oct-12
Philippines,Bunker,ZINNIA 5,27342,DUA2427,MNLD001460,497.55,58.6,9-Dec-11,8-Dec-12
Philippines,Fish Carrier,IRIS 1,27623,DUA6066,MNLD000852,306.43,42.1,1-Dec-11,30-Nov-12
Philippines,Fish Carrier,VANDA 888,30056,DYDH,MNLD010349,2219,100.13,8-Dec-11,7-Dec-12
Philippines,Single Purse Seine,JASMINE 88,30759,DUAY5,MNLD007581,1433.63,72.24,22-Nov-11,21-Nov-12
Philippines,Single Purse Seine,DOLORES 849,31617,4DEF6,120000110,632,57.19,16-Aug-11,15-Aug-12
Philippines,Single Purse Seine,DOLORES 839,31625,4DEF7,120000109,632,57.19,17-Aug-11,16-Aug-12
Philippines,Fish Carrier,KENKEN 888,33009,DUL6696,12-0001657,872.99,71.09,3-Nov-11,2-Nov-12
Philippines,Fish Carrier,GOLDEN SHOWER 888,33446,DUA6368,MNLD003281,498,65.13,26-Oct-11,25-Oct-12
Philippines,Single Purse Seine,DOLORES 827,33837,DUL6230,12-0000175,768.12,55.96,25-Jul-11,24-Jul-12
Philippines,Single Purse Seine,DOLORES 828,33838,DUL6342,12-0000184,794.65,65.31,25-Jul-11,24-Jul-12
